"","ResponseId","AGE","GENDER","RACE","RACE_13_TEXT","EDUCATION","INCOME","CRT_1","CRT_2","CRT_3","CRT_4","CRT_5","CRT_6","CRT_7","Image1_Condition","Image2_Condition","Image3_Condition","Image4_Condition","Image5_Condition","Image6_Condition","Image7_Condition","Image8_Condition","Image9_Condition","Image10_Condition","Image11_Condition","Image12_Condition","Image13_Condition","Image14_Condition","Image15_Condition","Image16_Condition","Image17_Condition","Image18_Condition","Image19_Condition","Image20_Condition","Image21_Condition","Image22_Condition","Image23_Condition","Image24_Condition","Image25_Condition","Image26_Condition","Image27_Condition","Image28_Condition","Image29_Condition","Image30_Condition","Mancheck_1","A1_1","A1_2","A1_3","A1_4","Mancheck_2","A2_1","A2_2","A2_3","A2_4","Mancheck_3","A3_1","A3_2","A3_3","A3_4","Mancheck_4","A4_1","A4_2","A4_3","A4_4","Mancheck_5","A5_1","A5_2","A5_3","A5_4","Mancheck_6","A6_1","A6_2","A6_3","A6_4","Mancheck_7","A7_1","A7_2","A7_3","A7_4","Mancheck_8","A8_1","A8_2","A8_3","A8_4","Mancheck_9","A9_1","A9_2","A9_3","A9_4","Mancheck_10","A10_1","A10_2","A10_3","A10_4","Mancheck_11","A11_1","A11_2","A11_3","A11_4","Mancheck_12","A12_1","A12_2","A12_3","A12_4","Mancheck_13","A13_1","A13_2","A13_3","A13_4","Mancheck_14","A14_1","A14_2","A14_3","A14_4","Mancheck_15","A15_1","A15_2","A15_3","A15_4","Mancheck_16","A16_1","A16_2","A16_3","A16_4","Mancheck_17","A17_1","A17_2","A17_3","A17_4","Mancheck_18","A18_1","A18_2","A18_3","A18_4","Mancheck_19","A19_1","A19_2","A19_3","A19_4","Mancheck_20","A20_1","A20_2","A20_3","A20_4","Mancheck_21","A21_1","A21_2","A21_3","A21_4","Mancheck_22","A22_1","A22_2","A22_3","A22_4","Mancheck_23","A23_1","A23_2","A23_3","A23_4","Mancheck_24","A24_1","A24_2","A24_3","A24_4","Mancheck_25","A25_1","A25_2","A25_3","A25_4","Mancheck_26","A26_1","A26_2","A26_3","A26_4","Mancheck_27","A27_1","A27_2","A27_3","A27_4","Mancheck_28","A28_1","A28_2","A28_3","A28_4","Mancheck_29","A29_1","A29_2","A29_3","A29_4","Mancheck_30","A30_1","A30_2","A30_3","A30_4"
"32","R_2uX8ocUqQ7gH9nV",54,1,1,"-99",5,2,5,5,47,4,29,"20","3",2,2,1,1,1,2,1,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,1,1,2,2,"2",3,2,2,"2","1","1","2","2","1","2","3","1","2","1","2","2","1","2","1","1","1","1","1","2","1","2","2","2","1","2","2","1","1","2","1","2","3","3","2","2","2","1","2","2","3","3","2","4","1","2","2","1","2","1","2","2","1","2","2","2","3","1","2","2","1","2","3","2","1","1","2","1","2","1","2","2","1","2","2","1","1","1","2","2","3","3","2","3","2","2","2","2","3","1","3","3","2","2","2","1","1","1","2","2","2","2","3","3","2","1","1","2","2","1","1","2","1","1","2","1","1","2","2","1","1","1","1","1","2","2","2","2","3","1","1","2","2","2","1","1","2","1","2","2","2","3","2","4"
"33","R_XYCkXT22OvssWRP",67,2,1,"-99",3,3,5,5,47,4,29,"20","3",2,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,2,1,2,1,1,1,2,"2",3,2,2,"2","1","1","1","1","1","4","4","2","3","1","2","3","1","2","2","2","3","1","2","1","4","4","1","3","2","2","2","2","2","2","1","1","1","2","2","1","2","1","2","1","1","2","1","2","1","1","2","1","2","2","2","3","2","2","1","1","2","1","2","2","1","2","2","2","1","2","3","2","2","2","3","4","1","3","2","3","3","2","3","1","2","3","2","2","2","5","5","2","4","2","1","1","2","2","1","4","4","2","3","1","3","3","2","2","2","1","1","1","1","1","4","4","1","3","2","3","3","1","2","1","5","5","2","3","2","2","3","2","2","1","3","3","2","2","1","4","4","2","3","1","5","5","2","4"
"34","R_3nSj8H4bfFUvpdG",45,2,1,"-99",5,10,5,5,47,12,15,"10","1",2,1,2,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,"5",5,4,4,"1","2","2","2","3","2","5","5","5","5","2","2","2","3","3","1","2","2","2","2","2","3","3","3","3","1","2","3","2","3","1","2","2","3","3","1","3","3","2","3","1","3","3","3","3","1","2","2","2","3","1","2","3","2","3","2","4","4","5","5","1","2","2","2","3","2","5","4","5","4","1","2","3","3","3","2","2","2","3","3","1","2","2","2","3","2","5","5","5","5","1","2","2","2","3","1","2","2","2","2","2","3","3","4","3","2","3","3","3","3","1","2","2","2","3","2","4","4","4","4","1","4","4","2","3","1","2","3","2","3","2","4","4","4","4","2","3","3","4","4","2","5","5","5","5"
"35","R_12GcJ9Ia7E6rhjt",41,1,1,"-99",2,4,10,5,47,4,30,"20","3",2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,"3",3,2,3,"2","2","2","2","3","2","4","4","3","4","2","2","2","1","4","2","3","3","2","3","1","3","4","2","3","2","3","3","2","3","2","1","1","1","3","1","4","4","3","4","2","3","3","2","3","1","4","4","2","3","2","4","3","2","3","2","4","4","3","4","2","2","2","2","3","1","3","3","3","3","2","2","2","2","3","1","2","2","2","3","1","3","3","2","3","1","5","5","3","4","1","1","1","1","2","2","3","3","2","3","1","2","2","2","2","1","2","2","2","3","1","2","3","2","3","2","3","3","3","4","1","5","5","3","4","1","4","4","3","4","2","3","3","2","3","2","2","2","2","3","1","3","3","2","3"
"36","R_VPxFEOtO8HisSQx",39,2,1,"-99",2,10,0.05,5,47,6,29,"20","2",2,1,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,"2",2,2,2,"1","1","1","1","1","2","3","3","3","2","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","3","3","3","3","2","1","1","1","1","1","1","1","1","1","2","3","3","3","2","2","2","2","2","2","2","3","3","3","2","1","3","3","3","3","2","1","1","1","1","1","1","1","1","1","2","3","3","3","3","2","1","1","1","1","1","1","1","1","1","2","2","2","2","1","2","1","1","1","1","2","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1"
"37","R_2CCZapisQXyRqdO",54,2,1,"-99",4,6,5,5,47,3,30,"10","2",2,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,2,"3",3,2,3,"1","1","2","2","3","2","4","4","3","4","1","2","2","1","3","2","3","3","2","3","1","3","3","2","2","2","3","4","3","3","1","3","3","4","4","1","2","2","2","2","1","3","4","2","3","1","3","2","3","4","2","3","4","2","4","2","3","2","1","2","1","2","2","1","3","1","2","3","1","3","1","4","4","1","3","2","4","4","4","4","1","3","4","3","2","1","4","4","2","4","1","2","2","1","3","2","4","4","4","4","1","1","1","3","3","2","2","2","4","4","1","3","3","1","3","2","3","3","2","2","1","4","4","2","3","1","1","3","4","4","1","2","2","1","2","2","2","3","4","4","1","3","4","1","4"
"38","R_2f8zkk4BhirnX6x",64,2,1,"-99",5,2,5,5,47,4,29,"20","3",2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,"4",4,4,3,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2","1","1","1","1","1","4","4","3","2","2","2","2","2","2","1","3","3","2","2","2","1","1","1","2","1","2","2","2","2","2",NA,NA,NA,NA,"2","2","2","2","2","2","3","3","3","3","1","3","3","2","2","1","2","2","2","1","1","1","1","1","1","2","2","2","2","2","1","3","3","2","3","1","4","4","2","3","1","3","3","2","2","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"1","2","2","2","2","2","3","3","2","2","1","3","3","2","2","1","2","2","2","2","2","4","4","3","4","2","3","3","2","3","2","2","2","2","2","1","3","3","2","2","2","2","2","2","2"
"39","R_3EstSVdH6PPJLBp",48,2,2,"-99",3,9,5,5,47,4,29,"10","2",2,1,2,2,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,"4",4,4,4,"1","1","1","1","1","2","5","5","5","5","2","1","1","1","1","2","3","3","2","2","1","1","1","1","1","2","4","3","4","3","1","1","1","1","1","2","2","3","2","1","1","2","3","2","2","1","1","1","1","1","2","5","4","5","4","2","3","3","3","2","1","1","1","1","1","2","3","4","3","3","2","2","2","3","1","2","5","5","5","5","2","2","3","2","2","2","4","4","4","3","2","3","2","3","2","2","3","4","4","4","1","2","3","2","2","1","1","1","1","1","2","3","3","3","2","1","3","3","3","2","2","4","5","4","3","1","2","3","3","2","1","3","4","3","2","1","4","4","4","3","1","2","3","1","1"
"40","R_1DZudjSG53iRGEo",59,1,1,"-99",3,8,5,5,47,6,29,"90","3",2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,"4",4,3,3,"2","1","1","1","2","2","3","3","2","2","2","1","1","1","2","2","3","3","2","2","1","1","1","1","1","2","3","2","1","2","2","1","1","1","2","2","1","1","1","2","2","3","3","2","2","2","2","2","1","2","2","3","2","2","2","1","4","3","2","3","2","1","1","1","2","2","3","2","1","2","1","2","1","1","1","1","2","2","1","1","1","2","2","1","1","2","4","3","2","3","2","1","1","1","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","2","1","1","1","2","4","3","2","3","2","2","2","1","2","1","3","2","1","1","2","1","1","1","2","2","3","2","1","2"
"41","R_3hzPohRAtwkyncR",31,2,2,"-99",4,5,0.1,100,24,1,15,"30","1",2,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,"5",5,5,5,"1","3","2","3","3","2","3","4","4","4","2","1","1","1","3","2","3","3","4","3","2","4","5","4","5","1","3","3","2","3","2","1","2","2","4","1","5","5","5","5","1","1","1","2","2","2","4","4","5","5","2","3","3","4","3","1","4","4","4","4","1","1","1","1","1","1","4","4","5","5","1","5","5","5","5","1","2","3","3","3","1","3","4","4","4","1","3","3","4","4","2","1","1","1","1","1","3","4","4","4","1","2","2","3","3","2","5","4","4","5","2","4","5","3","4","2","2","2","3","3","1","4","5","4","4","1","5","5","5","5","1","4","5","5","5","2","1","1","1","1","2","4","4","5","4"
"42","R_sXc1yq9A42rvNKh",35,1,1,"-99",2,2,5,5,47,3,29,"20","2",1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,"3",3,3,2,"1","1","1","1","1","2","4","4","3","4","2","1","1","1","1","1","2","2","2","2","2","3","3","2","3","2","4","3","3","3","1","1","1","1","1","1","2","2","1","1","1","2","2","1","1","2","3","3","3","2","1","3","3","2","2","2","5","4","3","4","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","1","1","2","1","1","1","2","3","2","2","2","3","3","2","3","1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","1","2","2","1","1","1","1","1","1","1","2","3","2","2","2","2","3","4","3","3","1","1","1","1","1","2","2","2","1","2","1","2","2","1","2"
"43","R_tWYtN6abknriYnL",32,1,1,"-99",5,10,5,5,47,4,29,"10","3",2,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,1,1,2,"5",5,3,3,"1","1","1","1","3","2","5","5","3","3","2","1","1","3","3","1","2","2","1","1","1","1","2","1","2","1","2","2","1","3","1","1","1","3","3","1","1","1","1","1","1","2","3","1","3","2","2","2","3","3","1","3","3","1","3","1","3","3","1","3","2","1","1","1","3","2","1","1","3","3","2","2","2","3","3","2","2","2","3","3","2","3","3","3","3","1","3","3","1","3","2","1","1","3","3","1","2","2","1","3","2","1","1","2","3","1","1","1","1","3","2","2","3","2","3","1","2","2","1","3","2","4","4","3","3","2","3","3","3","3","2","2","2","3","3","1","2","2","3","3","1","4","4","1","3"
"44","R_C3RQwya7FRV7mvv",30,1,1,"-99",3,8,5,5,24,9,30,"20","3",2,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,2,"4",5,3,3,"1","4","4","3","3","2","4","5","4","4","2","2","3","1","2","1","4","3","4","4","2","4","5","3","4","2","5","5","5","5","2","2","2","2","2","1","4","5","3","4","1","4","4","3","4","2","5","5","4","5","1","5","4","3","4","2","5","5","4","4","1","2","2","1","2","1","3","3","2","3","2","3","3","2","3","1","5","5","3","4","2","4","4","3","3","2","4","5","3","4","1","2","2","1","2","1","2","3","2","3","2","1","2","1","1","1",NA,NA,NA,NA,"2","3","3","1","2","2","4","4","3","3","2","5","5","4","4","1","5","5","3","4","2","3","4","3","3","2","2","3","2","2","1","4","4","3","3"
"45","R_RVwK2zWzn7ULXO1",33,1,1,"-99",3,1,5,5,47,4,29,"20","3",2,1,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,"4",5,3,4,"1","1","1","2","2","2","5","5","4","5","1","1","1","2","2","2","4","4","5","4","1","3","4","5","4","1","5","5","4","5","2","1","1","3","4","1","3","4","5","4","2","4","5","5","4","1","4","5","4","5","1","3","4","5","4","2","5","5","3","4","2","1","1","3","3","2","2","2","4","3","2","1","1","2","2","2","2","3","5","4","2","3","3","4","4","1","3","4","2","3","2","2","2","1","2","1","4","3","4","5","1","2","1","3","2","1","1","1","2","3","1","3","3","3","3","1","1","1","2","1","1","4","5","4","5","1","5","5","5","5","2","4","5","5","5","1","3","3","5","4","1","3","3","3","4"
"46","R_1CIW3ZumtxLoDic",53,2,1,"-99",5,5,0.1,20,47,4,31,"10","2",1,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,"4",3,3,2,"2","3","3","2","3","1","5","3","4","2","2","5","4","5","4","2","4","2","4","4","1","4","4","3","3","2","4","4","3","3","1","5","5","4","4","1","5","5","5","3","1","4","4","3","3","2","2","3","4","3","2","4","3","3","3","1","3","3","2","2","2","5","4","4","4","1","4","4","4","3","2","4","4","5","4","1","4","4","2","3","2","3","4","4","3","2","4","3","4","4","1","4","4","3","3","1","4","4","4","3","2","3","2","3","2","1","2","2","2","2","1","4","4","2","3","2","4","4","5","4","1","4","5","4","2","1","3","3","2","2","2","5","4","5","5","1","5","4","3","4","1","4","4","4","3"
"47","R_2OW6WE8dizdy4Er",50,1,1,"-99",3,2,10,5,47,4,30,"0","3",1,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,"5",5,5,4,"1","4","2","3","3","2","5","5","5","3","2","5","3","4","4","1","3","3","2","2","2","3","3","1","2","2","4","4","3","2","2","1","1","1","3","2","3","3","2","2","1","3","4","3","2","2","2","2","1","2","2","5","3","5","4","1","2","3","1","2","2","3","2","2","2","1","3","2","2","2","2","4","4","4","3","2","5","5","3","3","2","5","5","5","4","2","5","5","5","4","2","2","3","3","2","1","3","3","2","2","1","3","2","3","2","1","1","2","1","2","1","5","5","4","3","1","2","3","4","3","1","4","4","3","2","2","2","3","2","2","1","1","1","1","2","2","1","2","3","3","1","4","4","3","3"
"48","R_2c7RR2ghpJeVr62",31,2,1,"-99",2,7,10,5,24,4,30,"10","2",1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,NA,NA,NA,NA,"2","2","2","3","3","2","5","5","3","4","2","1","2","1","3","1","3","3","3","2","1","4","4","3","3","2","3","3","2","3","2","3","4","3","3","1","3","4","3","3","1",NA,NA,NA,NA,"2","3","4","2","2","2","4","4","3","3","1","4","3","4","1","2","1","3","3","2","2","3","2","3","3","1","4","4","2","2","2","4","4","2","3","1","4","4","3","3","2","5","5","3","3","1","1","1","2","2","1","3","2","3","3","2","3","4","4","4","2","2","2","1","3","1","2","1","2","2","1","2","3","1","1","2","4","4","2","3","2",NA,NA,NA,NA,"2","4","4","3","3","2","3","3","4","3","1","4","5","2","3"
"49","R_RJOKFczl3kcucMh",43,2,13,"European origins and Southeast Asian origins",3,2,5,100,47,4,30,"20","3",2,2,1,1,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,2,2,"2",2,1,2,"2","1","1","1","2","1","3","3","1","2","1","2","2","1","2","1","2","2","1","2","2","4","4","1","3","1","3","3","1","2","2","2","2","1","3","1","2","2","1","2","2","2","3","1","2","1","2","2","1","2","2","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2","2","2","1","2","1","3","3","1","2","1","2","2","1","2","2","1","1","1","2","2","2","2","1","2","1","3","3","1","2","2","1","1","1","1","1","3","3","1","2","2","1","2","1","2","2","2","3","1","2","1","1","2","1","2","1","2","2","1","2","1","2","2","1","2","1","1","1","1","2","2","3","3","1","2","2","2","2","1","2"
"50","R_be0aJKS9ZfT9IYN",63,2,1,"-99",2,6,5,5,47,9,29,"20","2",1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,1,"1",1,1,2,"2","1","1","1","2","2","3","3","2","3","1","1","1","2","2","2","2","2","2","3","2","1","2","1","3","1","4","3","2","3","2","1","1","1","4","1","1","2","1","1","2","1","1","1","1","2","1","1","1","2","2","2","2","2","3","2","2","3","3","3","1","1","1","1","2","2","1","1","1","3","1","1","1","1","3","1","3","3","2","3","1","1","2","1","3","1","1","1","1","3","2","1","1","2","2","2","2","2","2","3","1","1","1","1","3","1","1","1","1","3","2","2","2","1","3","2","4","3","1","2","1","2","2","1","3","2","1","1","2","2","2","1","1","2","3","1","1","1","3","3","2","2","2","1","3"
"51","R_11jQPEiIKHaudU2",50,2,1,"-99",4,7,90,5,24,6,30,"0","2",2,2,1,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,"4",4,2,4,"2","3","3","2","4","1","4","4","3","3","2","3","2","1","3","2","3","3","2","3","1",NA,NA,NA,NA,"1","4","3","2","3","2","2","2","2","3","1","3","2","1","3","2","2","2","1","3","1","3","3","2","3","1","4","4","2","3","1","2","2","1","3","2","3","2","1","3","2","3","3","2","4","2","3","3","2","4","2","2","2","1","2","2","4","4","3","4","2","4","4","3","4","2","2","2","1","2","2","3","3","2","4","2","3","2","2","3","1","3","3","2","3","2","3","3","2","2","1","3","2","2","3","1","3","3","2","3","1","3","3","2","3","2","4","3","3","4","2","3","2","2","4","2","4","3","3","4"
"52","R_9Rn5HTQ00lMe7L3",41,2,1,"-99",4,7,5,5,24,3,29,"10","2",2,2,2,1,2,2,2,2,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,"5",5,5,4,"2","2","2","1","2","2","5","5","4","4","1","1","1","1","1","2","4","4","3","3","2","3","3","2","2","2","3","3","2","2","2","1","1","1","2","1","2","1","1","2","1","3","3","4","3","2","3","3","3","2","1","2","2","1","2","2","5","5","4","4","1","1","1","1","1","2","1","1","2","2","1","1","1","1","2","1","2","3","3","2","1","1","1","1","2","2","5","5","4","3","1","1","1","1","1","1","2","2","2","2","2","1","1","1","2","1","1","1","1","2","1","4","5","4","3","1","1","1","1","1","1","4","5","3","3","1","3","4","3","3","2","1","1","1","2","1","1","1","1","1","2","4","4","4","3"
"53","R_3x668v07p4D3TJn",29,1,1,"-99",5,5,5,5,47,9,30,"10","1",2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,2,1,2,2,2,2,"4",4,3,3,"2","1","2","1","2","1","4","5","4","5","1","4","2","3","3","2","4","5","4","4","2","4","5","3","2","2","2","4","4","5","2","4","3","5","2","1","4","3","4","4","2","3","5","4","3","2","2","4","3","5","2","4","5","3","2","2","5","4","4","3","1","4","2","3","4","2","3","4","2","4","1","4","5","5","3","2","4","2","3","3","1","4","4","5","3","2","4","2","4","4","2","1","2","1","1","2","2","3","3","2","1","2","1","2","1","2","2","3","4","3","1","4","2","4","4","1","4","2","4","4","2","2","4","5","4","1","2","4","5","3","2","3","2","5","4","2","4","3","5","4","2","4","2","4","5"
"54","R_vMu4h5HyWEe0LOV",49,1,1,"-99",2,5,5,5,47,4,29,"10","3",1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,"5",5,5,4,"1","1","1","2","2","1","5","5","4","5","2","1","1","2","2","1","4","4","3","3","2","1","1","2","1","2","5","5","4","4","2","1","1","2","2","2","2","2","3","3","2","5","5","4","4","1","1","1","1","2","1","4","5","3","3","2","5","5","3","4","2","1","1","1","2","2","1","1","1","2","2","3","3","3","2","2","3","3","4","3","2","3","3","2","3","2","5","5","4","3","1","1","1","2","2","2","3","4","3","3","2","2","2","3","2","1","1","1","1","1","2","2","2","3","3","2","5","4","5","4","2","4","5","3","3","2","5","4","4","4","2","1","2","3","2","1","1","2","2","2","2","3","3","2","2"
"55","R_2roxijEO8tLUkX1",67,2,1,"-99",3,7,10,100,47,3,15,"10","2",1,1,2,1,1,2,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,NA,NA,NA,NA,"1","3","2","2","2","2","5","5","5","5","1","1","1","1","1","2",NA,NA,NA,NA,"1",NA,NA,NA,NA,"2","5","5","5","4","1","3","3","2","2","1",NA,NA,NA,NA,"2","5","5","5","3","1","2","2","2","2","2",NA,NA,NA,NA,"2","5","5","5","5","1","2","2","2","2","1","2","2","2","2","1","5","5","5","3","2","4","5","3","3","1",NA,NA,NA,NA,"1","3","4","3","3","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,NA,"1",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2","4","4","4","3","1","4","5","4","4","2","3","3","3","2"
"56","R_3Mg8KBHinuwNv6d",50,2,1,"-99",2,11,5,5,47,9,30,"20","2",2,2,1,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,"5",5,5,4,"2","3","2","3","2","1","5","5","4","3","2","3","3","4","2","1","4","4","3","3","2","4","5","4","4","2","5","4","5","4","2","1","3","4","3","2","4","5","3","3","1","3","3","2","2","2","4","5","4","3","1","4","4","3","3","1","5","5","4","3","2","1","4","3","2","2","1","1","1","1","1","5","5","2","3","2","5","5","3","4","2","5","5","4","3","2","5","5","4","3","1","1","1","2","2","2","4","5","4","4","1","1","2","3","2","2","1","1","1","1","2","4","5","3","2","2","3","3","2","2","2","5","5","4","4","2","5","5","5","4","1","3","3","4","2","2","3","3","4","3","1","4","4","3","3"
"57","R_1NnnFRTHOBb6RxK",43,1,9,"-99",5,2,5,5,47,4,29,"20","3",1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,1,2,1,1,1,"2",3,1,1,"1","1","1","1","1","1","1","3","1","1","2","1","1","1","1","1","2","2","1","1","2","1","2","1","1","2","3","4","1","1","2","2","2","2","3","1","1","1","1","1","2","3","3","1","2","2","1","2","1","1","1","2","2","1","1","2","1","2","1","1","1","1","1","1","1","2","1","2","1","1","1","1","2","1","2","2","2","2","1","2","2","2","3","1","1","1","2","2","1","1","2","1","1","1","1","2","2","2","1","1","1","2","2","2","3","1","1","1","1","1","1","1","2","1","1","2","2","2","1","2","2","1","3","1","1","1","1","2","1","1","2","2","3","2","3","2",NA,NA,NA,NA,"1","2","2","1","1"
"58","R_NVgNH2mHlfURLFf",65,1,1,"-99",5,6,5,100,47,6,29,"10","2",1,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,"3",4,1,2,"2","1","1","1","1","1","4","4","1","2","1","1","1","1","1","2","2","2","1","2","1","5","5","1","2","2","2","2","1","2","2","1","2","3","3","1","3","3","1","2","2","2","2","1","2","2","1","1","1","1","2","5","5","4","4","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1","2","1","3","3","1","2","1","3","3","1","2","2","4","4","1","2","2","1","1","1","1","1","3","3","1","2","2","1","1","3","2","1","4","3","1","2","2","3","3","1","2","2","3","3","1","2","1","4","4","1","2","1","2","1","3","2","1","1","1","1","1","1","1","1","3","2","1","5","5","1","4"
"59","R_bfotPsJzvJFKfHb",54,2,13,"white/native american",6,11,5,5,47,4,29,"20","3",2,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,"3",3,3,3,"1","2","1","2","2","1","3","4","2","3","2","4","3","4","3","2","2","3","3","3","2","1","2","2","2","1","3","3","3","3","1","1","1","3","2","2","3","3","4","3","1","2","3","3","3","1","3","3","4","3","1","2","3","3","3","1","3","4","4","3","2","3","3","3","3","1","2","2","3","2","1","2","2","2","3","2","2","2","3","2","1","3","3","3","3","2","3","3","3","3","2","4","4","4","3","2","3","3","3","3","2","2","2","3","2","1","3","3","4","3","1","2","3","2","3","2","1","1","2","2","1","3","3","3","3","2","1","2","3","3","2","2","3","3","3","2","4","3","4","3","2","2","1","3","2"
"60","R_3j3rJsIagVnykY2",39,1,9,"-99",3,3,10,100,24,9,15,"10","2",2,1,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,2,1,2,"5",4,3,4,"1","2","2","2","2","2","5","5","5","5","1","2","3","3","3","1","3","4","3","2","1","3","4","3","4","1","3","3","4","3","1","3","4","4","3","2","3","2","3","2","2","3","2","1","3","2","3","2","3","2","1","3","4","3","4","1","4","3","3","3","2","3","4","3","3","2","3","4","3","4","1","3","2","3","2","2","3","2","3","2","1","3","3","2","2","1","3","4","3","3","1","3","3","4","3","2","4","3","2","4","2","2","3","3","2","1","2","2","1","2","1","3","2","3","3","1","3","4","3","4","2","5","4","4","4","2","5","5","5","5","2","2","2","2","2","2","3","4","3","3","1","5","4","4","5"
"61","R_2E5IIehviFPVEQ5",50,2,2,"-99",3,1,5,100,24,3,15,"10","2",1,2,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,"3",4,3,3,"2","2","2","2","2","2","4","4","4","4","2","2","1","2","2","2","3","3","3","3","2","2","3","2","3","1","3","4","3","3","2","2","1","2","2","1","4","3","3","3","2","3","3","3","2","1","3","3","3","3","1","3","3","3","3","1","4","3","3","3","1","2","3","3","3","2","3","3","2","3","1","3","3","2","3","2","3","3","3","3","1","2","3","2","2","2","2","3","2","2","2","2","1","2","2","2","3","3","3","3","1","2","2","3","3","1","1","1","1","2","2","3","4","2","3","2","3","3","3","3","1","3","4","3","3","2","3","3","4","4","2","3","4","3","3","2","3","3","3","3","1","2","3","2","2"
